nameGiven,playerID,first_year,first_team,last_year,last_team
"Stephen Wayne",bedrost01,1985,ATL,1995,ATL
"Calvin Edwin",ripkeca01,1985,BAL,2001,BAL
"Richard Craig",schofdi02,1985,CAL,1996,CAL
"Harold Douglas",baineha01,1985,CHA,2001,CHA
"Ryne Dee",sandbry01,1985,CHN,1997,CHN
"Thomas Leo",brownto05,1985,CIN,1995,CIN
"Kirk Harold",gibsoki01,1985,DET,1995,DET
"Alan Stuart",trammal01,1985,DET,1996,DET
"Louis Rodman",whitalo01,1985,DET,1995,DET
"Orel Leonard",hershor01,1985,LAN,2000,LAN
Kirby,puckeki01,1985,MIN,1997,MIN
"Donald Arthur",mattido01,1985,NYA,1995,NYA
"Keith Anthony",phillto02,1985,OAK,1999,OAK
"Anthony Keith",gwynnto01,1985,SDN,2001,SDN
"Willie Dean",mcgeewi01,1985,SLN,1999,SLN
"Osborne Earl",smithoz01,1985,SLN,1996,SLN
"David Andrew",stiebda01,1985,TOR,1998,TOR
"Michael Lewis",greenmi01,1986,BOS,1996,BOS
"Ronald Joseph",karkoro01,1986,CHA,1997,CHA
"Barry Louis",larkiba01,1986,CIN,2004,CIN
"Darren Arthur",daultda01,1986,PHI,1997,PHI
"William Charles",swiftbi02,1986,SEA,1998,SEA
"Robert Randall",thompro01,1986,SFN,1997,SFN
"Jeffrey Lee",russeje01,1986,TEX,1996,TEX
"Thomas Michael",glavito02,1987,ATL,2009,ATL
"Ellis Rena",burksel01,1987,BOS,2004,BOS
"Thomas Alan",pagnoto01,1987,SLN,1998,SLN
"Roberto Conrado",kellyro01,1988,NYA,2000,NYA
"Craig Alan",biggicr01,1989,HOU,2007,HOU
"Jeffrey Thomas",montgje01,1989,KCA,1999,KCA
"George Kenneth",griffke02,1989,SEA,2010,SEA
"Chadden Michael",kreutch01,1989,TEX,2003,TEX
"Samuel Peralta",sosasa01,1989,TEX,2007,TEX
"William Harold",morriha02,1990,CIN,2000,CIN
"Robert Kevin",appieke01,1990,KCA,2004,KCA
"David Michael",hollida01,1990,PHI,2002,PHI
Edgar,martied01,1990,SEA,2004,SEA
"Raymond Lewis",lankfra01,1990,SLN,2004,SLN
"William Joseph",haselbi01,1990,TEX,2002,TEX
"Mark Joseph",petkoma01,1990,TEX,2001,TEX
"Gregory Richard",myersgr01,1990,TOR,2005,TOR
"David Vincent",seguida01,1991,BAL,2004,BAL
"Christopher Andrew",hammoch01,1991,CIN,2006,CIN
"Charles Harrison",nagych01,1991,CLE,2002,CLE
"Edward Kenneth",taubeed01,1991,CLE,2002,CLE
Bernabe,willibe02,1991,NYA,2006,NYA
"Patrick George",hentgpa01,1991,TOR,2004,TOR
"Jeffrey Robert",bagweje01,1992,HOU,2006,HOU
"Rudy Caballero",seaneru01,1992,LAN,2007,LAN
"Larry Wayne",jonesch06,1993,ATL,2012,ATL
"Sterling Alex",hitchst01,1993,NYA,2003,NYA
"Kevin Stacey",youngke01,1993,PIT,2003,PIT
"Jeffrey Allan",nelsoje01,1993,SEA,2005,SEA
"Darren James",dreifda01,1994,LAN,2005,LAN
"Juan Carlos",pulidca01,1994,MIN,2004,MIN
"Thurman Clyde",greerru01,1994,TEX,2004,TEX
"Eduardo Rafael",perezed02,1995,ATL,2005,ATL
"Robert Leigh",higgibo02,1995,DET,2005,DET
"Brad William",radkebr01,1995,MIN,2006,MIN
"Andrew Eugene",pettian01,1995,NYA,2013,NYA
Mariano,riverma01,1995,NYA,2013,NYA
"Richard Santo",aurilri01,1995,SFN,2009,SFN
"Derek Sanderson",jeterde01,1996,NYA,2014,NYA
"Todd Lynn",heltoto01,1997,COL,2013,COL
"Jorge Rafael",posadjo01,1997,NYA,2011,NYA
"Shannon Harold",stewash01,1997,TOR,2008,TOR
"Jason Andrew",varitja01,1998,BOS,2011,BOS
"Kerry Lee",woodke02,1998,CHN,2012,CHN
"Alfonso Guilleard",soriaal01,2001,NYA,2014,NYA
"James Calvin",rolliji01,2001,PHI,2014,PHI
"Colby Preston",lewisco01,2002,TEX,2012,TEX
"Marlon Jerrard",byrdma01,2003,PHI,2014,PHI
"Chase Cameron",utleych01,2003,PHI,2014,PHI
"Xavier Clifford",nadyxa01,2003,SDN,2014,SDN
"William Paul",bloomwi01,2003,SEA,2014,SEA
"Joseph Patrick",mauerjo01,2004,MIN,2014,MIN
