decade,university,n_of_players,top_3_by_decade
1860,"Fordham University",1,1
1860,"Villanova University",1,2
1870,"Brown University",3,1
1870,"Yale University",3,2
1870,"Dartmouth College",1,3
1880,"Yale University",6,1
1880,"Brown University",5,2
1880,"College of the Holy Cross",3,3
1890,"Brown University",13,1
1890,"College of the Holy Cross",13,2
1890,"University of Pennsylvania",9,3
1900,"University of Notre Dame",16,1
1900,"College of the Holy Cross",14,2
1900,"Manhattan College",14,3
1910,"College of the Holy Cross",11,1
1910,"St. Mary's College of California",11,2
1910,"Brown University",9,3
1920,"University of Alabama",19,1
1920,"College of the Holy Cross",15,2
1920,"University of Texas at Austin",12,3
1930,"Duke University",14,1
1930,"College of the Holy Cross",11,2
1930,"University of Texas at Austin",11,3
1940,"University of Southern California",9,1
1940,"University of Illinois at Urbana-Champaign",8,2
1940,"University of Texas at Austin",7,3
1950,"University of Southern California",12,1
1950,"Michigan State University",9,2
1950,"University of Texas at Austin",7,3
1960,"Arizona State University",18,1
1960,"University of Southern California",17,2
1960,"University of Michigan",14,3
1970,"Arizona State University",32,1
1970,"University of Southern California",24,2
1970,"University of Texas at Austin",20,3
1980,"University of Arizona",24,1
1980,"Arizona State University",23,2
1980,"University of California, Los Angeles",22,3
1990,"Stanford University",25,1
1990,"University of Southern California",23,2
1990,"Louisiana State University",22,3
2000,"Arizona State University",23,1
2000,"California State University Long Beach",23,2
2000,"Stanford University",22,3
2010,"University of Florida",5,1
2010,"University of Texas at Austin",4,2
2010,"Georgia Institute of Technology",3,3
