birthday,birthday_guys
1984-3-10,Aaron
1935-8-26,"Aaron Albert"
1975-8-15,"Aaron Alvin Marcus, Benjamin Cooper"
1986-10-1,"Aaron Andermon"
1915-6-23,"Aaron Andrew, John William"
1987-12-19,"Aaron Christopher"
1972-10-5,"Aaron Colin, Yamil Antonio"
1942-4-19,"Aaron Elton"
1970-6-25,"Aaron Helmer"
1992-7-1,"Aaron Jacob"
1977-1-22,"Aaron James"
1971-11-23,"Aaron James, Edilberto, Ryan Byron, Matt Jacob"
1986-11-10,"Aaron James, Eric Allyn"
1988-1-2,"Aaron James, Eric Anthony"
1973-3-9,"Aaron John, Christopher John"
1976-9-7,"Aaron Joseph"
1973-1-9,"Aaron Keith"
1977-9-26,"Aaron Kenneth"
1979-2-8,"Aaron Lane, Ryan Delbert"
1990-4-27,"Aaron Lee"
1896-8-28,"Aaron Lee"
1987-2-28,"Aaron Marshall"
1978-5-9,"Aaron Michael"
1978-11-12,"Aaron Michael"
1986-4-24,"Aaron R."
1977-8-29,"Aaron Ryan, Roy Edward, Steven James"
1991-1-14,"Aaron Samuel"
1973-2-18,"Aaron Shawn"
1976-12-15,"Aaron Wade"
1982-3-21,"Aaron Walter"
1870-4-13,Abel
1860-12-15,"Abner Charles"
1857-9-9,"Abner Frank"
1885-2-14,Abraham
1982-10-17,Abraham
1989-6-27,Abraham
1873-5-6,"Abraham Conrad"
1861-3-4,"Abraham Lincoln"
1879-12-20,"Abraham Lincoln"
1895-2-12,"Abraham Lincoln"
1925-3-10,"Abraham Louis"
1976-3-16,"Abraham Orlando"
1855-4-21,"Abram Harding"
1898-5-6,"Absalom Holbrook, George Dewey"
1910-3-2,"Ace Townsend"
1959-7-11,Adalberto
1982-2-22,"Adalberto, Kelly Andrew"
1984-4-9,"Adam A."
1983-7-17,"Adam Alan, Steven Edward"
1905-12-9,"Adam Anthony"
1979-7-12,"Adam Bryant"
1965-12-11,"Adam Charles, Jay Stuart"
1977-6-11,"Adam Christopher"
1973-8-17,"Adam Christopher"
1988-12-6,"Adam Cory"
1976-2-8,"Adam David"
1972-10-4,"Adam David"
1971-12-6,"Adam Davis, Jose Ariel"
1976-11-28,"Adam Gino"
1980-2-12,"Adam James"
1978-2-6,"Adam Jason, Stephen Michael"
1892-10-7,"Adam Joseph"
1988-8-27,"Adam Joseph, Michael George"
1979-5-18,"Adam L."
1988-9-4,"Adam Lynn"
1983-5-20,"Adam Marcos"
1972-3-27,"Adam Michael, Creighton Wade"
1981-8-30,"Adam Parrish"
1888-2-4,"Adam Rankin"
1985-11-22,"Adam Robert"
1984-5-8,"Adam Ross"
1977-11-23,"Adam Thomas"
1976-1-10,"Adam Thomas, Jason Jon"
1895-9-21,"Adam William"
1983-4-14,"Adam William, Jeffrey Philip"
1887-7-18,"Addison Foster, Delbert Henry"
1989-4-15,Adeiny
1904-5-16,Adel
1883-10-29,"Adelbert William"
1894-8-29,"Adlai Wendell"
1880-1-5,"Adolf Otto, James Joseph, Frederick Creighton"
1890-8-4,"Adolfo Domingo de Guzman"
1941-12-16,"Adolfo Emilio"
1893-1-12,"Adolph Andreas, Charles"
1894-1-29,"Adolph John"
1907-4-23,"Adolph Louis"
1855-9-12,"Adoniram Judson"
1880-4-12,Adrian
1916-8-26,Adrian
1989-11-12,Adrian
1852-4-17,"Adrian Constantine"
1974-2-7,"Adrian Demond"
1897-2-9,"Adrian Ryan"
1982-5-8,"Adrian Sabin"
1987-10-10,"Adrian, Elvin"
1975-3-25,"Adrian, Miguel"
1986-10-8,"Adron Lamar, Erik Randall"
1977-8-26,"Agustin Alcantara, Larry Allan"
1972-1-13,Akinori
1979-10-9,Alain
1958-2-17,"Alan Anthony, Michael Lawrence"
1946-12-8,"Alan Benton"
1966-10-18,"Alan Bernard, Carlos Cesar"
1968-5-22,"Alan Brian"
1906-11-7,"Alan Cochrane"
1951-7-8,"Alan Dean"
1943-6-15,"Alan Edward"
1943-11-12,"Alan George"
1938-3-25,"Alan Goodman"
1937-10-1,"Alan Healey"
1948-5-19,"Alan Joel"
1958-8-8,"Alan Kim"
1956-12-8,"Alan Lee"
1955-5-19,"Alan Lee, Eddie Lee"
1884-9-27,"Alan Marshall"
1968-5-19,"Alan Michael"
1972-1-21,"Alan Paul"
1969-10-2,"Alan Spencer, Matthew Lovick"
1958-2-21,"Alan Stuart"
1949-7-21,"Alan Thomas"
1896-3-8,"Alan Thomas"
1951-9-3,"Alan, David Alan"
1914-7-12,Alban
1917-6-24,Albert
1919-5-29,Albert
1871-9-17,Albert
1849-9-21,Albert
1859-8-7,Albert
1888-1-27,Albert
1880-9-26,Albert
1886-2-28,Albert
1958-3-7,Albert
1952-2-29,Albert
1904-5-25,"Albert Abernathy"
1921-6-10,"Albert Alfred"
1909-1-8,"Albert Allen"
1893-9-30,"Albert Aloysius"
1971-8-18,"Albert Anthony"
1945-5-26,"Albert Arthur"
1899-12-12,"Albert Bailey"
1899-3-28,"Albert Bartel"
1898-7-14,"Albert Benjamin"
1899-6-1,"Albert Bernard"
1912-10-12,"Albert Bernard, Edward Jerome"
1926-5-16,"Albert Bluford"
1932-3-22,"Albert Bringhurst"
1865-5-17,"Albert C."
1861-1-31,"Albert C."
1888-8-22,"Albert C."
1892-2-22,"Albert Charles"
1868-9-2,"Albert Charles"
1911-5-20,"Albert Charles"
1900-6-13,"Albert Clyde"
1937-4-4,"Albert Daniel George, Gary Merle"
1933-7-8,"Albert Donald"
1960-6-30,"Albert Dwayne"
1891-8-19,"Albert E., Herbert Lee, James Earl"
1887-11-1,"Albert Earl"
1912-11-11,"Albert Edgar, Harold Arthur"
1874-8-23,"Albert Edward"
1860-10-15,"Albert Edward"
1915-1-11,"Albert Ernest"
1916-6-27,"Albert Eugene"
1961-3-24,"Albert Eugene"
1895-10-24,"Albert Felix"
1886-5-19,"Albert Francis"
1893-1-20,"Albert Frank, Clifford Joseph"
1923-2-2,"Albert Fred"
1860-6-26,"Albert Frederick"
1847-11-19,"Albert George"
1896-7-1,"Albert George"
1906-5-17,"Albert George"
1850-9-2,"Albert Goodwill"
1934-9-12,"Albert Gregory"
1954-5-6,"Albert Hamilton"
1918-7-18,"Albert Harold"
1888-8-14,"Albert Harrison, William Baker"
1884-1-4,"Albert Henry"
1944-11-9,"Albert Henry"
1864-9-13,"Albert Herman"
1884-6-11,"Albert Irving"
1882-8-22,"Albert James"
1891-1-27,"Albert John"
1871-1-27,"Albert John"
1856-9-15,"Albert John"
1938-4-2,"Albert John"
1966-8-25,"Albert Jojuan"
1906-2-28,"Albert Jones, Peter George"
1925-3-20,"Albert Joseph"
1913-12-26,"Albert Joseph"
1915-4-2,"Albert Joseph"
1924-5-7,"Albert Joseph"
1922-10-10,"Albert Joseph"
1865-10-9,"Albert Joseph"
1881-4-8,"Albert Joseph"
1856-5-23,"Albert Joseph"
1903-9-7,"Albert Joseph, Curtis Benton, John Clarence"
1872-3-24,"Albert Karl"
1921-7-5,"Albert Kenneth"
1887-12-23,"Albert LaVerne"
1936-10-27,"Albert Lee"
1894-5-30,"Albert Leon, Howard Earle"
1924-2-29,"Albert Leonard"
1881-6-5,"Albert Leonard, John Frederick Mann"
1872-9-5,"Albert Lewis"
1902-9-22,"Albert Ludwig"
1941-11-27,"Albert Martin"
1884-11-15,"Albert Michael"
1914-5-14,"Albert Myron, James Robert"
