teamID,pr_right_bats,pr_left_bats,pr_both_bats
ANA,61.13,31.58,7.29
ARI,61.70,30.43,7.87
ATL,61.83,29.23,8.93
BAL,61.83,29.56,8.61
BOS,62.02,29.37,8.62
CAL,60.60,29.35,10.05
CHA,59.69,33.49,6.82
CHN,63.80,28.54,7.67
CIN,62.59,29.41,8.01
CLE,59.57,29.68,10.75
COL,63.72,27.75,8.53
DET,60.83,28.57,10.60
FLO,66.33,24.32,9.35
HOU,62.30,23.88,13.82
KCA,64.30,27.23,8.47
LAA,68.20,16.61,15.19
LAN,63.00,27.80,9.19
MIA,64.94,29.87,5.19
MIL,66.39,29.44,4.18
MIN,60.87,26.71,12.42
ML4,59.58,29.40,11.02
MON,63.78,24.09,12.13
NYA,58.82,30.72,10.47
NYM,66.67,29.17,4.17
NYN,56.09,30.19,13.72
OAK,62.66,27.47,9.88
PHI,58.45,31.35,10.19
PIT,64.39,27.42,8.19
SDN,61.46,28.94,9.61
SEA,61.68,28.94,9.37
SFG,55.56,25.93,18.52
SFN,61.14,27.53,11.33
SLN,61.85,26.52,11.63
TBA,59.79,31.04,9.17
TEX,63.63,26.43,9.94
TOR,64.04,26.56,9.40
WAS,62.76,25.52,11.72
